Product,Type,Release_Date,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
NVIDIA GRID K560Q,GPU,7/2/14,28,225,294,3540,745,NVIDIA
3dfx Spectre 2000,GPU,NaT,,30,131,30,200,Other
NVIDIA GeForce GTS 250,GPU,3/4/09,55,150,260,754,675,NVIDIA
ATI Radeon X850 XT,GPU,12/1/04,130,69,297,160,520,ATI
NVIDIA Quadro 4000M,GPU,2/22/11,40,100,332,1950,475,NVIDIA
NVIDIA GRID M60-8Q,GPU,8/30/15,28,225,398,5200,557,NVIDIA
NVIDIA GeForce4 MX 440-8x,GPU,9/25/02,150,,65,29,275,NVIDIA
NVIDIA Quadro P3200 Mobile,GPU,2/21/18,16,75,314,7200,1328,NVIDIA
NVIDIA GeForce 9700M GTS,GPU,7/29/08,65,60,240,505,530,NVIDIA
ATI All-In-Wonder 9200 SE,GPU,1/26/04,150,,98,36,250,ATI
NVIDIA GeForce PCX 4300,GPU,2/19/04,150,,65,29,250,NVIDIA
ATI Mobility Radeon HD 2600 XT,GPU,5/14/07,65,,153,390,680,ATI
NVIDIA GeForce GTX 760M,GPU,5/30/13,28,55,221,2540,628,NVIDIA
ATI Mobility Radeon HD 5450,GPU,1/7/10,40,11,59,292,650,ATI
NVIDIA GeForce 6600 GT AGP,GPU,11/14/04,110,47,154,146,500,NVIDIA
AMD Radeon HD 8790M,GPU,4/1/13,28,,77,950,850,AMD
NVIDIA GeForce GT 120 OEM,GPU,3/10/09,55,50,121,314,738,NVIDIA
AMD Radeon R7 340 OEM,GPU,5/5/15,28,50,77,950,730,AMD
ATI Radeon X1950 PRO,GPU,10/1/06,80,66,230,330,575,ATI
Intel HD Graphics 620,GPU,8/30/16,14,15,,,300,Intel
AMD Radeon RX 580 OEM,GPU,6/29/16,14,150,232,5700,1120,AMD
XGI Volari Duo V5 Ultra,GPU,9/15/03,130,,,90,350,Other
AMD Radeon 550X Mobile,GPU,4/11/18,14,50,103,2200,1100,AMD
NVIDIA GeForce GT 630M,GPU,3/22/12,40,33,116,585,660,NVIDIA
ATI Mobility Radeon 9200,GPU,3/1/03,150,,81,36,250,ATI
ATI FireGL X3-256,GPU,8/3/04,130,57,281,160,491,ATI
NVIDIA Quadro FX 1500M,GPU,4/18/06,90,45,196,278,375,NVIDIA
NVIDIA GeForce 9200,GPU,4/17/07,80,40,127,210,500,NVIDIA
NVIDIA Quadro FX 4600 SDI,GPU,3/5/07,90,154,484,681,500,NVIDIA
NVIDIA Quadro T1000 Mobile,GPU,5/27/19,12,50,200,4700,1395,NVIDIA
NVIDIA Playstation 3 GPU 90nm,GPU,11/11/06,90,80,258,300,550,NVIDIA
3dfx Voodoo4-2 4800 AGP,GPU,NaT,180,15,112,14,166,Other
AMD Radeon RX 570,GPU,4/18/17,14,150,232,5700,1168,AMD
ATI Radeon 9700 PRO,GPU,7/1/02,150,,215,110,325,ATI
NVIDIA Tesla K40s,GPU,11/22/13,28,245,561,7080,745,NVIDIA
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2/1/17,16,75,200,4400,1493,NVIDIA
AMD Radeon HD 6310 IGP,GPU,11/9/10,40,18,75,450,488,AMD
ATI Mobility Radeon HD 4570,GPU,1/9/09,55,,73,242,680,ATI
NVIDIA Quadro2 MXR Low Profile,GPU,7/25/00,180,,64,20,200,NVIDIA
AMD Radeon R7 250 OEM,GPU,10/8/13,28,65,77,950,1000,AMD
ATI Radeon X1650 AGP,GPU,2/1/07,90,,150,157,500,ATI
NVIDIA Quadro RTX 4000 Max-Q,GPU,5/27/19,12,80,545,13600,780,NVIDIA
NVIDIA GeForce4 MX 440-SE,GPU,2/6/02,150,,65,29,250,NVIDIA
NVIDIA GeForce 9600 GSO,GPU,4/28/08,65,84,324,754,550,NVIDIA
NVIDIA GeForce4 Ti 4800,GPU,3/15/03,150,,101,36,300,NVIDIA
NVIDIA GeForce GTX 560 SE,GPU,2/20/12,40,150,332,1950,736,NVIDIA
NVIDIA Quadro FX Go1000,GPU,2/25/04,130,,133,82,295,NVIDIA
AMD Radeon R7 240,GPU,10/8/13,28,30,77,950,730,AMD
Sony Playstation 2 GPU 180nm,GPU,4/18/01,180,79,188,54,147,Other
NVIDIA GeForce FX 5500,GPU,3/17/04,150,,91,45,270,NVIDIA
NVIDIA GeForce GT 1030 GK107,GPU,9/30/18,28,65,118,1270,1058,NVIDIA
Intel HD Graphics 520,GPU,9/1/15,14,15,123,,300,Intel
AMD Radeon HD 7510M,GPU,1/7/12,40,11,104,716,450,AMD
AMD Radeon R6 Mobile Graphics,GPU,11/7/15,28,15,125,1200,200,AMD
NVIDIA Quadro RTX 3000 Max-Q,GPU,5/27/19,12,60,445,10800,600,NVIDIA
ATI Mobility Radeon HD 5850,GPU,1/7/10,40,30,166,1040,500,ATI
NVIDIA GeForce GTX 1060 6 GB GDDR5X,GPU,10/18/18,16,120,314,7200,1506,NVIDIA
Intel Iris Pro Graphics 5200,GPU,6/3/13,22,45,,,200,Intel
NVIDIA GeForce GTX 950M Mac Edition,GPU,3/13/15,28,75,148,1870,993,NVIDIA
AMD Radeon HD 6990,GPU,3/8/11,40,375,389,2640,830,AMD
NVIDIA GeForce GT 740M,GPU,4/1/13,28,45,118,1270,810,NVIDIA
ATI Radeon X300 SE HyperMemory,GPU,10/25/06,110,30,74,107,325,ATI
NVIDIA GeForce 6600 VE,GPU,1/1/05,110,,154,146,300,NVIDIA
AMD Radeon R5 A240,GPU,1/1/14,28,,56,690,1030,AMD
NVIDIA Quadro 4100,GPU,NaT,28,35,294,3540,797,NVIDIA
NVIDIA GeForce 310M,GPU,1/10/10,40,14,57,260,606,NVIDIA
NVIDIA Tesla T10 Processor,GPU,4/9/09,55,188,470,1400,610,NVIDIA
NVIDIA Quadro M520 Mobile,GPU,1/11/17,28,25,,,1041,NVIDIA
Intel GMA X3500,GPU,8/1/07,90,13,,,667,Intel
ATI Mobility Radeon HD 3870,GPU,6/4/08,55,55,192,666,660,ATI
NVIDIA GeForce4 Ti 4200-8X,GPU,2/6/02,150,,101,36,250,NVIDIA
NVIDIA GeForce 810M,GPU,3/24/14,28,15,116,585,738,NVIDIA
Intel HD Graphics 6000,GPU,9/5/14,14,15,133,,300,Intel
NVIDIA GeForce RTX 2080 SUPER,GPU,7/23/19,12,250,545,13600,1650,NVIDIA
ATI Mobility Radeon X1600 Mac Edition,GPU,11/8/07,90,,150,157,398,ATI
AMD Radeon HD 6630M,GPU,1/4/11,40,26,104,716,500,AMD
AMD Radeon R5 330 OEM,GPU,5/5/15,28,50,56,690,830,AMD
NVIDIA GeForce 8400 GS,GPU,4/17/07,80,40,127,210,459,NVIDIA
AMD Radeon HD 7730M,GPU,4/24/12,28,25,123,1500,575,AMD
AMD Radeon HD 7670A,GPU,1/5/12,40,45,118,716,600,AMD
AMD Radeon HD 7310 IGP,GPU,6/6/12,40,18,75,450,500,AMD
ATI Radeon X1950 PRO DUAL,GPU,1/10/07,80,130,230,330,575,ATI
ATI FireGL 8800,GPU,8/14/01,150,,120,60,300,ATI
AMD FirePro S9100,GPU,10/2/14,28,225,438,6200,824,AMD
AMD Radeon HD 6650M,GPU,1/4/11,40,,104,716,600,AMD
AMD Radeon HD 7570M,GPU,1/7/12,40,13,104,716,500,AMD
AMD FirePro W4300,GPU,12/1/15,28,50,160,2080,930,AMD
AMD Radeon Vega 10 Mobile,GPU,1/8/19,14,10,210,4940,300,AMD
NVIDIA GeForce 820A,GPU,3/17/14,28,15,116,585,775,NVIDIA
ATI Radeon X740 XL,GPU,3/7/05,110,,156,120,425,ATI
NVIDIA GeForce RTX 2060 Max-Q,GPU,1/29/20,12,65,445,10800,975,NVIDIA
ATI Mobility Radeon X700 XL,GPU,3/1/05,110,,156,120,350,ATI
ATI Radeon X1800 CrossFire Edition,GPU,12/20/05,90,113,288,321,600,ATI
AMD Radeon R7 M380,GPU,5/5/15,28,,123,1500,900,AMD
NVIDIA GeForce MX110,GPU,11/17/17,28,30,,,978,NVIDIA
NVIDIA NVS 510,GPU,10/23/12,28,35,118,1270,797,NVIDIA
AMD Radeon HD 7570,GPU,1/5/12,40,60,118,716,650,AMD
NVIDIA GeForce 9800M GT,GPU,7/29/08,65,65,324,754,500,NVIDIA
NVIDIA GeForce 7000M + nForce 610M,GPU,2/1/06,90,,81,112,350,NVIDIA
NVIDIA Quadro FX 4600,GPU,3/5/07,90,134,484,681,500,NVIDIA
NVIDIA GeForce 7050 PV + nForce 630a,GPU,2/1/06,90,,81,112,425,NVIDIA
AMD Radeon HD 7770 GHz Edition,GPU,2/15/12,28,80,123,1500,1000,AMD
ATI Mobility Radeon 9000 IGP,GPU,5/1/03,150,,92,76,300,ATI
NVIDIA GeForce 8800M GTX,GPU,11/1/07,65,65,324,754,500,NVIDIA
ATI Radeon HD 5570,GPU,2/9/10,40,39,104,627,625,ATI
NVIDIA GeForce GT 640M LE,GPU,3/22/12,28,20,118,1270,500,NVIDIA
ATI Radeon 9100 PCI,GPU,4/1/03,150,,120,60,250,ATI
ATI Mobility Radeon HD 2300,GPU,3/1/07,80,,100,107,480,ATI
ATI Mobility Radeon HD 5430,GPU,1/7/10,40,7,59,292,500,ATI
AMD Radeon E6465,GPU,9/29/15,40,25,67,370,600,AMD
ATI Radeon Xpress 1270 Mobile IGP,GPU,2/28/07,80,,73,120,400,ATI
ATI Radeon HD 3870 AGP,GPU,NaT,55,106,192,666,777,ATI
Sony Playstation Portable GPU 90nm,GPU,12/12/04,90,4,,,133,Other
AMD Radeon R4 Mobile Graphics,GPU,6/1/16,28,15,125,1200,200,AMD
AMD Radeon R5 Graphics,GPU,9/17/14,28,15,245,2410,497,AMD
NVIDIA Quadro M4000,GPU,6/29/15,28,120,398,5200,773,NVIDIA
NVIDIA GeForce GTX 1050 Ti,GPU,10/25/16,14,75,132,3300,1291,NVIDIA
NVIDIA GeForce MX350,GPU,2/10/20,14,20,132,3300,747,NVIDIA
NVIDIA Quadro4 700 Go GL,GPU,6/5/03,150,,101,36,199,NVIDIA
ATI FireGL V7600,GPU,11/6/07,80,127,420,720,600,ATI
Intel Xeon Phi 7120X,GPU,6/17/13,22,300,350,5000,1238,Intel
NVIDIA Quadro NVS 160M,GPU,8/15/08,65,12,86,210,580,NVIDIA
NVIDIA GeForce GTS 150M,GPU,3/3/09,65,45,240,505,400,NVIDIA
XGI Volari V8,GPU,9/15/03,130,,,110,300,Other
NVIDIA Quadro M5000,GPU,6/29/15,28,150,398,5200,861,NVIDIA
ATI Radeon HD 3750,GPU,9/11/08,55,65,135,378,796,ATI
AMD Radeon R5 A230,GPU,1/7/14,28,,56,690,780,AMD
NVIDIA GeForce 9200,GPU,4/17/07,65,40,144,314,450,NVIDIA
AMD Radeon HD 7450M,GPU,1/7/12,40,7,67,370,700,AMD
NVIDIA Quadro FX 3800M,GPU,8/14/08,65,100,324,754,675,NVIDIA
NVIDIA Jetson AGX Xavier GPU,GPU,NaT,12,30,350,9000,854,NVIDIA
Intel GMA X3100,GPU,5/9/07,90,13,,,500,Intel
Intel UHD Graphics P630,GPU,5/13/20,14,15,,,350,Intel
AMD Radeon R3 Mobile Graphics,GPU,1/28/15,28,15,107,930,600,AMD
NVIDIA Quadro4 550 XGL,GPU,2/19/02,150,,65,29,270,NVIDIA
NVIDIA GeForce 605 OEM,GPU,4/2/12,40,25,79,292,523,NVIDIA
ATI Mobility Radeon HD 2600,GPU,5/14/07,65,,153,390,500,ATI
AMD Radeon HD 7600G IGP,GPU,9/1/12,32,19,246,1303,320,AMD
AMD Radeon HD 6970M,GPU,1/4/11,40,75,212,1700,680,AMD
ATI Radeon HD 5450 PCIe x1,GPU,2/4/10,40,19,59,292,650,ATI
ATI GameCube GPU,GPU,8/24/00,180,45,120,51,162,ATI
NVIDIA GeForce GT 710 PCIe x1,GPU,3/27/14,28,19,87,1020,954,NVIDIA
NVIDIA GeForce GTX 860M,GPU,3/10/14,28,75,294,3540,797,NVIDIA
NVIDIA Quadro2 Pro,GPU,3/22/01,150,,88,25,200,NVIDIA
NVIDIA GeForce4 448 Go,GPU,3/1/02,150,,65,29,200,NVIDIA
NVIDIA GeForce GTX 1650 GDDR6,GPU,4/1/20,12,75,200,4700,1410,NVIDIA
NVIDIA GeForce 9650M GT,GPU,8/19/08,55,23,121,314,550,NVIDIA
AMD Radeon HD 6320 IGP,GPU,8/15/11,40,18,75,450,508,AMD
NVIDIA GeForce 315 OEM,GPU,3/31/10,40,33,100,486,475,NVIDIA
ATI Radeon HD 3850 X3,GPU,NaT,55,145,192,666,669,ATI
NVIDIA GeForce 805A,GPU,7/22/14,28,15,87,1020,719,NVIDIA
AMD Radeon RX 6600M,GPU,NaT,7,150,236,,1489,AMD
NVIDIA GeForce 9800 GT,GPU,7/21/08,65,125,324,754,600,NVIDIA
XGI Volari 8600 XT,GPU,NaT,110,,,,450,Other
Intel Iris Graphics 550,GPU,9/1/15,14,15,,,300,Intel
NVIDIA GeForce GT 335M,GPU,1/7/10,40,28,144,727,450,NVIDIA
ATI FireGL V3350,GPU,10/1/05,90,,100,107,600,ATI
AMD FirePro S10000 Passive 12GB,GPU,3/1/14,28,375,352,4313,825,AMD
AMD Radeon HD 7620G IGP,GPU,5/15/12,32,25,246,1303,360,AMD
NVIDIA GeForce2 MX + nForce 220,GPU,6/4/01,180,,65,20,175,NVIDIA
NVIDIA GeForce GTX 980 Ti,GPU,6/2/15,28,250,601,8000,1000,NVIDIA
AMD Radeon Pro Duo,GPU,4/26/16,28,350,596,8900,1000,AMD
AMD Radeon Pro 5500M,GPU,11/13/19,7,85,158,6400,1000,AMD
NVIDIA GeForce 9400M,GPU,10/15/08,65,12,144,314,450,NVIDIA
AMD Radeon R3E Mobile Graphics,GPU,1/28/15,28,100,107,930,351,AMD
Intel Iris Plus Graphics 650,GPU,1/3/17,14,15,,,300,Intel
ATI Radeon HD 4650 AGP,GPU,9/10/08,55,48,146,514,600,ATI
NVIDIA GeForce 315M,GPU,1/5/11,40,14,57,260,606,NVIDIA
NVIDIA GeForce GTX 260 Rev. 2,GPU,7/23/08,55,182,470,1400,576,NVIDIA
NVIDIA GeForce RTX 3050,GPU,1/1/21,8,90,,,1545,NVIDIA
ATI Radeon 7500 Mac Edition,GPU,4/16/02,150,23,83,60,260,ATI
NVIDIA GeForce GTX 965M,GPU,1/9/15,28,,398,5200,935,NVIDIA
Intel Iris Graphics 6100,GPU,9/5/14,14,15,133,,300,Intel
AMD Radeon RX 5300M,GPU,11/13/19,7,85,158,6400,1000,AMD
NVIDIA GeForce G102M,GPU,1/8/09,65,14,144,314,450,NVIDIA
AMD FirePro S9170,GPU,7/8/15,28,275,438,6200,930,AMD
NVIDIA GeForce GTX 980 Mobile,GPU,9/21/15,28,,398,5200,1064,NVIDIA
NVIDIA GeForce GTX 1650 Ti Mobile,GPU,4/23/20,12,50,284,6600,1350,NVIDIA
ATI Radeon 9550 XT,GPU,5/4/05,130,,76,60,425,ATI
AMD Radeon HD 6625M,GPU,1/4/11,40,26,104,716,450,AMD
NVIDIA GeForce GT 520 OEM,GPU,8/20/12,40,29,79,292,589,NVIDIA
NVIDIA GeForce MX350,GPU,2/10/20,14,20,132,3300,1354,NVIDIA
AMD Radeon Vega 8 Embedded,GPU,4/19/18,14,35,210,4940,300,AMD
NVIDIA GeForce G210 OEM Rev. 2,GPU,8/24/09,40,31,57,260,589,NVIDIA
ATI Radeon 9800 PRO MAXX,GPU,NaT,150,94,215,117,380,ATI
ATI Radeon 9800 SE,GPU,3/1/03,150,,215,117,378,ATI
NVIDIA Quadro FX 570M,GPU,6/1/07,80,45,169,289,475,NVIDIA
NVIDIA GeForce GT 630 Rev. 2,GPU,5/29/13,28,25,87,1020,902,NVIDIA
ATI Radeon X800 GT,GPU,11/1/05,130,40,297,160,475,ATI
AMD Radeon HD 7510 OEM,GPU,2/1/13,40,39,118,716,650,AMD
AMD Radeon R7 370,GPU,6/18/15,28,110,212,2800,925,AMD
ATI FireMV 2250 PCIe x1,GPU,1/1/07,80,32,100,107,600,ATI
ATI Radeon HD 5450,GPU,2/4/10,40,19,59,292,650,ATI
NVIDIA GeForce MX330,GPU,2/10/20,14,10,74,1800,1531,NVIDIA
AMD Radeon R3 Mobile Graphics,GPU,6/1/16,28,15,125,1200,200,AMD
AMD Radeon Vega 8 Embedded,GPU,2/13/18,14,15,210,4940,300,AMD
Intel HD Graphics,GPU,1/10/10,45,35,114,177,533,Intel
3dfx Voodoo5 5500 PCI,GPU,6/22/00,250,30,112,14,166,Other
NVIDIA GeForce 6600 GT Dual,GPU,8/12/04,110,,154,146,500,NVIDIA
AMD Radeon R9 290X,GPU,10/24/13,28,290,438,6200,1000,AMD
AMD Radeon R9 270,GPU,11/13/13,28,150,212,2800,900,AMD
AMD Radeon RX 5700 XT,GPU,7/7/19,7,225,251,10300,1605,AMD
NVIDIA NVS 3100M,GPU,1/7/10,40,14,57,260,606,NVIDIA
ATI Radeon DDR MAXX,GPU,6/1/00,180,,115,30,148,ATI
NVIDIA Quadro NVS 440,GPU,2/14/06,110,31,154,146,250,NVIDIA
NVIDIA GRID K260Q,GPU,6/28/13,28,225,294,3540,745,NVIDIA
NVIDIA GeForce 9300 + nForce 730i,GPU,4/17/07,65,40,144,314,450,NVIDIA
NVIDIA GeForce GTX 1060 5 GB,GPU,12/26/17,16,120,200,4400,1506,NVIDIA
AMD Radeon R7 M260DX,GPU,1/7/14,28,,56,690,955,AMD
Intel Xeon Phi SE10X,GPU,11/12/12,22,300,350,5000,1100,Intel
AMD Radeon HD 7480D IGP,GPU,10/2/12,32,65,246,1303,720,AMD
NVIDIA GeForce GTX 1060 6 GB GP104,GPU,3/8/18,16,120,314,7200,1506,NVIDIA
AMD Radeon HD 6970,GPU,12/14/10,40,250,389,2640,880,AMD
AMD Radeon R7 250XE,GPU,8/21/14,28,80,123,1500,860,AMD
ATI Radeon IGP 345M,GPU,10/5/02,180,,73,30,183,ATI
AMD Radeon HD 7970 X2,GPU,8/31/12,28,500,352,4313,925,AMD
NVIDIA GeForce GT 1030 DDR4,GPU,3/12/18,14,20,74,1800,1152,NVIDIA
Intel UHD Graphics 630,GPU,9/1/17,14,15,,,350,Intel
NVIDIA PG506-232,GPU,4/12/21,7,165,826,54200,930,NVIDIA
NVIDIA Quadro K600,GPU,3/1/13,28,41,118,1270,876,NVIDIA
NVIDIA GeForce GTX 1660 Ti Mobile,GPU,4/23/19,12,,284,6600,1455,NVIDIA
ATI Mobility Radeon X1350,GPU,9/18/06,80,,100,107,371,ATI
NVIDIA GeForce FX 5200 PCI,GPU,3/6/03,150,,91,45,250,NVIDIA
ATI Radeon X1300 XT AGP,GPU,8/12/06,90,22,150,157,500,ATI
AMD Radeon R5 230,GPU,4/3/14,40,19,67,370,625,AMD
NVIDIA Quadro T600 Mobile,GPU,NaT,12,18,200,4700,735,NVIDIA
AMD Radeon HD 7970,GPU,12/22/11,28,250,352,4313,925,AMD
AMD Radeon RX 6700M,GPU,NaT,7,180,335,17200,1489,AMD
ATI Radeon X1300 XT,GPU,8/12/06,90,22,150,157,500,ATI
ATI Radeon X1300 PRO AGP,GPU,10/1/05,90,31,100,107,600,ATI
AMD Radeon E9171 MCM,GPU,10/3/17,14,40,103,2200,1124,AMD
NVIDIA GeForce Go 7300,GPU,2/1/06,90,,81,112,350,NVIDIA
NVIDIA Quadro FX 2700M,GPU,8/14/08,65,65,240,505,530,NVIDIA
Intel GMA 950,GPU,1/1/06,90,7,,,250,Intel
NVIDIA GeForce FX Go5300,GPU,3/1/03,150,,124,45,275,NVIDIA
AMD Radeon E8860,GPU,1/25/14,28,37,123,1500,575,AMD
AMD Radeon Pro Vega 16,GPU,11/14/18,14,75,,,815,AMD
NVIDIA GeForce 6800 XT,GPU,9/30/05,110,,287,222,300,NVIDIA
NVIDIA GeForce 7300 GS Low Profile,GPU,1/18/06,90,23,81,112,450,NVIDIA
ATI Radeon HD 4570 Rebrand,GPU,11/22/09,55,65,135,378,796,ATI
Intel Xeon Phi 5110P,GPU,11/12/12,22,225,350,5000,1053,Intel
NVIDIA GeForce 9800S,GPU,7/15/08,65,75,240,505,600,NVIDIA
NVIDIA GeForce 7025 + nForce 630a,GPU,2/1/06,90,,81,112,425,NVIDIA
AMD Radeon R9 M485X,GPU,5/15/16,28,250,366,5000,723,AMD
NVIDIA GeForce GTX 480M,GPU,5/25/10,40,100,529,3100,425,NVIDIA
NVIDIA GeForce GTX 285 Mac Edition,GPU,1/15/09,55,204,470,1400,648,NVIDIA
ATI Radeon X1600 XT Dual,GPU,NaT,90,,150,157,590,ATI
ATI Radeon SDR PCI,GPU,6/1/00,180,23,115,30,166,ATI
NVIDIA GeForce 9500 GS Rev. 2,GPU,7/29/08,55,40,121,314,500,NVIDIA
AMD Radeon RX Vega 11,GPU,7/7/19,14,15,210,4940,300,AMD
ATI Mobility Radeon HD 5165,GPU,1/7/10,55,35,146,514,600,ATI
ATI Radeon X800 GTO AGP,GPU,11/8/07,130,49,281,160,400,ATI
AMD Radeon R5 235X OEM,GPU,12/21/13,40,18,67,370,875,AMD
NVIDIA Quadro Plex 2100 D4,GPU,7/25/08,65,640,324,754,500,NVIDIA
AMD Radeon Pro Duo Polaris,GPU,4/24/17,14,250,232,5700,1243,AMD
AMD Radeon RX 550X,GPU,12/16/18,14,50,103,2200,1100,AMD
NVIDIA GeForce GTX 1080 Max-Q,GPU,6/27/17,16,150,314,7200,1290,NVIDIA
AMD Radeon RX 560 Mobile,GPU,1/5/17,14,55,123,3000,1000,AMD
NVIDIA Quadro M5500 Mobile,GPU,4/8/16,28,150,398,5200,1140,NVIDIA
ATI Radeon X600 SE,GPU,9/1/04,110,36,74,107,325,ATI
3dfx Voodoo4 4000 AGP,GPU,NaT,250,15,112,14,166,Other
AMD FirePro W4000,GPU,8/7/12,28,75,212,2800,825,AMD
NVIDIA GeForce GTX 580,GPU,11/9/10,40,244,520,3000,772,NVIDIA
NVIDIA GeForce RTX 2060 Max-Q Refresh,GPU,1/29/19,12,115,445,10800,960,NVIDIA
ATI Mobility Radeon HD 5650,GPU,1/7/10,40,15,104,627,450,ATI
Intel GMA X4500,GPU,6/1/08,65,13,,,533,Intel
AMD Radeon E9550 MXM,GPU,9/27/16,14,95,232,5700,1120,AMD
Intel HD Graphics 2000,GPU,2/1/11,32,,131,504,650,Intel
ATI Radeon HD 4700,GPU,2/11/10,55,50,146,514,600,ATI
AMD Radeon HD 8670A,GPU,2/2/13,28,45,77,950,600,AMD
ATI Xbox 360 GPU 65nm,GPU,8/1/08,65,150,181,232,500,ATI
AMD Radeon R9 285X,GPU,NaT,28,200,366,5000,1002,AMD
NVIDIA GeForce GTX 1080 11Gbps,GPU,4/20/17,16,180,314,7200,1607,NVIDIA
NVIDIA Quadro P3000 Mobile,GPU,1/11/17,16,75,314,7200,1088,NVIDIA
NVIDIA GeForce GT 730,GPU,6/18/14,28,38,87,1020,902,NVIDIA
AMD Radeon R7 A265,GPU,1/9/14,28,,77,950,725,AMD
NVIDIA GeForce FX Go5200 64M,GPU,3/1/03,150,,91,45,250,NVIDIA
NVIDIA GeForce 7600 GS AGP,GPU,7/1/06,90,27,125,177,400,NVIDIA
NVIDIA GeForce RTX 3070 Mobile,GPU,1/12/21,8,115,392,17400,1110,NVIDIA
ATI FireMV 2260,GPU,1/1/08,55,15,67,181,500,ATI
NVIDIA GeForce 6100 + nForce 420,GPU,10/11/04,90,,,,425,NVIDIA
NVIDIA GeForce 6100 + nForce 430,GPU,10/11/04,90,,,,425,NVIDIA
NVIDIA GeForce GTX 560 Ti OEM,GPU,3/30/11,40,210,520,3000,732,NVIDIA
AMD Radeon R5 A255,GPU,1/1/14,28,,125,1550,925,AMD
ATI Radeon X1650 GT,GPU,5/1/07,80,,230,330,400,ATI
NVIDIA GRID M60-2Q,GPU,8/30/15,28,225,398,5200,557,NVIDIA
NVIDIA TITAN X Pascal,GPU,8/2/16,16,250,471,11800,1417,NVIDIA
AMD FirePro W8100,GPU,6/23/14,28,220,438,6200,824,AMD
ATI Mobility Radeon 9600 PRO Turbo,GPU,2/13/04,130,,92,76,337,ATI
NVIDIA Quadro FX 5600,GPU,3/5/07,90,171,484,681,600,NVIDIA
NVIDIA P106-090,GPU,7/31/17,16,75,200,4400,1354,NVIDIA
NVIDIA Quadro FX Go1400,GPU,2/25/05,130,,225,222,275,NVIDIA
NVIDIA GeForce Go 7300T,GPU,2/1/06,90,,81,112,350,NVIDIA
AMD Radeon R7 Graphics,GPU,2/17/14,28,90,245,2410,720,AMD
NVIDIA GeForce GT 325M,GPU,1/10/10,40,23,100,486,450,NVIDIA
NVIDIA RTX A5000,GPU,4/12/21,8,230,628,28300,1170,NVIDIA
ATI Radeon Xpress 1200 IGP,GPU,2/28/07,80,,73,120,400,ATI
NVIDIA GeForce 7900 GT,GPU,3/9/06,90,48,196,278,450,NVIDIA
AMD Radeon R8 M535DX,GPU,4/18/17,28,,125,1550,780,AMD
NVIDIA Quadro K2200,GPU,7/22/14,28,68,148,1870,1046,NVIDIA
NVIDIA GeForce GT 720M,GPU,12/25/13,28,33,87,1020,719,NVIDIA
AMD FirePro S7100X,GPU,5/25/16,28,100,366,5000,725,AMD
NVIDIA Quadro 4000,GPU,11/2/10,40,142,529,3100,475,NVIDIA
AMD Radeon HD 8860 OEM,GPU,1/8/13,28,175,212,2800,925,AMD
NVIDIA GeForce 8800 GTS 640,GPU,11/8/06,90,143,484,681,513,NVIDIA
NVIDIA Tesla K20m,GPU,1/5/13,28,225,561,7080,706,NVIDIA
AMD Radeon HD 6250 IGP,GPU,10/9/12,40,7,75,450,276,AMD
NVIDIA Quadro NVS 135M,GPU,5/9/07,80,10,127,210,400,NVIDIA
Intel Xeon Phi 7120P,GPU,6/17/13,22,300,350,5000,1238,Intel
NVIDIA GeForce RTX 2080 SUPER Mobile,GPU,4/2/20,12,150,545,13600,1365,NVIDIA
NVIDIA Jetson TX1 GPU,GPU,1/4/15,20,15,118,2000,1000,NVIDIA
AMD Radeon R7 M260X,GPU,12/6/15,28,,77,950,620,AMD
NVIDIA GeForce GT 1030,GPU,5/17/17,14,30,74,1800,1228,NVIDIA
AMD Radeon R5 M230 Rebrand,GPU,5/31/14,28,,56,690,780,AMD
NVIDIA GeForce FX 5900 Ultra,GPU,10/23/03,130,59,207,135,450,NVIDIA
ATI Mobility Radeon HD 5670 Mac Edition,GPU,4/22/10,40,15,104,627,650,ATI
AMD Radeon HD 7340 IGP,GPU,6/6/12,40,18,75,450,523,AMD
AMD Radeon RX 460 Mobile,GPU,8/8/16,14,55,123,3000,1000,AMD
NVIDIA Quadro 1000M,GPU,1/13/11,40,45,116,585,700,NVIDIA
AMD Radeon Vega 8 Mobile,GPU,1/12/21,7,45,156,9800,300,AMD
NVIDIA Quadro FX 4400,GPU,7/28/05,130,83,287,222,375,NVIDIA
ATI Radeon HD 2400 PRO PCI,GPU,6/28/07,65,20,85,180,525,ATI
NVIDIA GeForce 6800 GT,GPU,6/8/04,130,67,287,222,350,NVIDIA
NVIDIA Quadro FX 4400G,GPU,7/28/05,130,83,287,222,375,NVIDIA
NVIDIA GeForce RTX 2060,GPU,1/7/19,12,160,445,10800,1365,NVIDIA
ATI Radeon HD 5670 640SP Edition,GPU,7/18/10,40,64,166,1040,750,ATI
ATI FirePro V3800,GPU,4/26/10,40,43,104,627,650,ATI
NVIDIA GRID K200,GPU,6/28/13,28,225,294,3540,745,NVIDIA
Intel Extreme Graphics 2,GPU,12/3/03,130,,,,200,Intel
AMD Radeon Pro 450,GPU,10/30/16,14,35,123,3000,800,AMD
ATI Mobility Radeon HD 2700,GPU,12/12/07,65,35,153,390,700,ATI
ATI Mobility Radeon HD 3850,GPU,6/4/08,55,35,192,666,580,ATI
